                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5998,                 3.1274,                 1.9425,                0.32455,                0.45922,                0.35182,                0.19807,                 1.7735,                  2.458,                 2.5315,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.2762,                 2.0472,                 1.5725,                0.69649,                0.61112,                0.69513,                 0.4404,                  1.792,                 1.8474,                 2.3733,              0.0065943,              0.0065943,              0.0065943
                      3,                 1.2427,                 1.6172,                 1.5124,                0.71021,                0.60444,                0.67683,                0.41678,                 1.9228,                 1.8686,                 2.5249,              0.0097957,              0.0097957,              0.0097957
                      4,                 1.2084,                 1.4232,                 1.4972,                0.82848,                0.71296,                 0.8119,                0.56086,                 1.7324,                 1.3466,                 2.2923,               0.009703,               0.009703,               0.009703
                      5,                 1.1615,                 1.2857,                  1.466,                0.87329,                0.79739,                0.88676,                0.64283,                 1.5866,                 1.0216,                 2.1353,               0.009703,               0.009703,               0.009703
                      6,                 1.1299,                  1.208,                 1.4404,                0.86738,                0.77351,                0.85985,                0.63206,                 1.5948,                 1.1209,                 2.0743,               0.009604,               0.009604,               0.009604
                      7,                 1.1137,                 1.1597,                 1.4309,                0.89154,                0.80845,                0.89917,                 0.6831,                 1.5025,                0.93112,                 1.9876,               0.009505,               0.009505,               0.009505
                      8,                 1.1002,                  1.129,                 1.4189,                0.89665,                0.84432,                0.91971,                0.70599,                 1.4743,                0.77503,                 2.0245,               0.009406,               0.009406,               0.009406
                      9,                 1.0852,                 1.0986,                 1.4098,                0.88684,                0.82857,                  0.909,                0.68958,                  1.488,                 0.7762,                 1.9615,               0.009307,               0.009307,               0.009307
                     10,                 1.0774,                 1.0787,                 1.3991,                0.89655,                0.84777,                0.92177,                0.71234,                 1.4579,                0.72168,                 1.9704,               0.009208,               0.009208,               0.009208
                     11,                 1.0696,                 1.0625,                 1.3971,                0.90399,                0.86124,                 0.9293,                0.71898,                 1.4337,                0.70056,                 1.9384,               0.009109,               0.009109,               0.009109
                     12,                 1.0649,                 1.0482,                 1.3935,                0.90636,                0.87276,                0.93309,                0.72888,                 1.4203,                0.70343,                 1.9159,                0.00901,                0.00901,                0.00901
                     13,                 1.0576,                 1.0349,                 1.3854,                0.90956,                0.87103,                0.93252,                0.72477,                 1.4401,                0.67188,                 1.9358,               0.008911,               0.008911,               0.008911
                     14,                 1.0549,                 1.0279,                 1.3832,                0.91383,                0.87464,                 0.9371,                0.72962,                 1.4236,                0.66428,                 1.9118,               0.008812,               0.008812,               0.008812
                     15,                 1.0508,                 1.0195,                 1.3788,                0.91311,                0.86444,                0.93244,                0.72819,                 1.4337,                0.65971,                 1.9347,               0.008713,               0.008713,               0.008713
                     16,                 1.0446,                 1.0065,                 1.3739,                0.91515,                0.88108,                0.93921,                0.74155,                  1.397,                0.64583,                 1.8805,               0.008614,               0.008614,               0.008614
                     17,                 1.0404,                 1.0012,                 1.3685,                 0.9184,                0.88338,                 0.9408,                0.74099,                 1.4141,                0.62169,                 1.9342,               0.008515,               0.008515,               0.008515
                     18,                  1.039,                0.99223,                 1.3665,                0.91337,                0.88577,                0.93979,                0.74362,                 1.3923,                0.62641,                 1.9073,               0.008416,               0.008416,               0.008416
                     19,                 1.0358,                0.98821,                 1.3625,                0.92571,                0.88858,                 0.9454,                0.74688,                 1.3955,                0.59859,                 1.8787,               0.008317,               0.008317,               0.008317
                     20,                 1.0356,                0.98471,                 1.3651,                0.92151,                0.88772,                0.94384,                0.74448,                 1.4011,                0.60639,                 1.8974,               0.008218,               0.008218,               0.008218
                     21,                 1.0312,                0.97551,                 1.3584,                0.92463,                0.88961,                0.94431,                0.74991,                 1.3859,                 0.6032,                 1.8651,               0.008119,               0.008119,               0.008119
                     22,                 1.0289,                0.97184,                 1.3572,                0.93218,                0.88855,                0.94768,                 0.7547,                 1.3765,                0.58503,                 1.8396,                0.00802,                0.00802,                0.00802
                     23,                 1.0277,                0.96174,                 1.3527,                0.92324,                0.89675,                0.94674,                0.75248,                 1.3826,                0.58482,                 1.8515,               0.007921,               0.007921,               0.007921
                     24,                 1.0248,                0.95873,                 1.3498,                0.92715,                0.89938,                0.94921,                0.75704,                 1.3741,                0.57894,                 1.8466,               0.007822,               0.007822,               0.007822
                     25,                 1.0238,                0.95506,                 1.3473,                0.92342,                0.90448,                0.94825,                0.75633,                 1.3712,                0.57711,                 1.8466,               0.007723,               0.007723,               0.007723
                     26,                 1.0221,                0.95203,                 1.3441,                0.92654,                0.90203,                0.94804,                  0.755,                 1.3749,                0.57866,                 1.8549,               0.007624,               0.007624,               0.007624
                     27,                 1.0209,                0.94874,                 1.3452,                0.93026,                0.89847,                0.94912,                0.75681,                 1.3704,                0.57573,                  1.839,               0.007525,               0.007525,               0.007525
                     28,                 1.0172,                0.93942,                 1.3408,                 0.9286,                0.90272,                0.94965,                 0.7571,                 1.3695,                0.57614,                 1.8359,               0.007426,               0.007426,               0.007426
                     29,                 1.0156,                 0.9408,                  1.339,                0.93066,                0.90061,                0.94921,                0.75794,                 1.3655,                 0.5776,                 1.8379,               0.007327,               0.007327,               0.007327
                     30,                 1.0156,                 0.9412,                 1.3377,                0.92839,                0.90438,                0.94938,                 0.7588,                  1.362,                0.57728,                 1.8356,               0.007228,               0.007228,               0.007228
                     31,                 1.0103,                0.93128,                 1.3327,                0.93103,                 0.9033,                0.94952,                0.75876,                 1.3606,                0.57621,                 1.8317,               0.007129,               0.007129,               0.007129
                     32,                 1.0084,                0.92865,                  1.332,                0.92937,                0.90479,                0.95003,                0.76007,                 1.3593,                0.57318,                 1.8312,                0.00703,                0.00703,                0.00703
                     33,                 1.0105,                0.92721,                  1.331,                0.93011,                 0.9052,                0.95011,                0.76037,                 1.3582,                0.57223,                 1.8309,               0.006931,               0.006931,               0.006931
                     34,                 1.0044,                0.91571,                 1.3258,                0.93128,                0.90514,                0.95012,                0.76087,                 1.3558,                 0.5715,                 1.8295,               0.006832,               0.006832,               0.006832
                     35,                  1.008,                0.91636,                 1.3283,                0.93251,                0.90601,                0.95015,                0.76121,                 1.3548,                0.56984,                 1.8284,               0.006733,               0.006733,               0.006733
                     36,                 1.0078,                0.91614,                 1.3257,                0.93241,                 0.9066,                0.95055,                0.76169,                 1.3534,                0.56831,                 1.8289,               0.006634,               0.006634,               0.006634
                     37,                 1.0035,                0.90783,                 1.3227,                0.93208,                0.90753,                0.95079,                0.76195,                  1.353,                0.56753,                 1.8291,               0.006535,               0.006535,               0.006535
                     38,                 1.0027,                0.90594,                 1.3208,                0.93161,                0.90827,                0.95079,                0.76228,                 1.3523,                0.56545,                 1.8277,               0.006436,               0.006436,               0.006436
                     39,                 1.0012,                0.90975,                 1.3215,                0.93312,                0.90681,                0.95105,                0.76265,                 1.3522,                0.56339,                 1.8266,               0.006337,               0.006337,               0.006337
                     40,                0.99743,                0.89955,                 1.3161,                  0.933,                0.90705,                0.95118,                0.76297,                  1.352,                0.56267,                 1.8268,               0.006238,               0.006238,               0.006238
                     41,                 1.0001,                0.89991,                 1.3185,                0.93435,                0.90627,                0.95125,                0.76294,                 1.3521,                0.56213,                 1.8255,               0.006139,               0.006139,               0.006139
                     42,                0.99679,                0.89655,                 1.3154,                0.93496,                0.90665,                 0.9514,                 0.7629,                  1.352,                 0.5621,                  1.824,                0.00604,                0.00604,                0.00604
