                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9638,                 5.7202,                 3.7991,                      0,                      0,                      0,                      0,                 2.8581,                 5.2666,                 3.5737,                      0,                      0,                      0
                      2,                 2.8912,                 5.7623,                 3.8128,                      0,                      0,                      0,                      0,                 2.8392,                 5.2667,                 3.5492,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.0418,                 5.7637,                 3.5334,                      0,                      0,                      0,                      0,                 2.8791,                 5.2455,                 3.5742,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.9204,                 5.7371,                 3.5459,                      0,                      0,                      0,                      0,                  2.907,                 5.2636,                 3.5479,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.2037,                 5.9318,                 4.1095,                      0,                      0,                      0,                      0,                 2.9054,                 5.2736,                 3.5435,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.9175,                 5.6525,                 3.5811,                      0,                      0,                      0,                      0,                 2.9255,                 5.2809,                 3.5079,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 3.3495,                 5.7662,                  3.895,                      0,                      0,                      0,                      0,                 2.9246,                 5.2876,                  3.513,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.1581,                 5.7549,                  3.573,                      0,                      0,                      0,                      0,                 2.9333,                 5.2968,                 3.4948,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.9699,                 5.6615,                 3.6036,                      0,                      0,                      0,                      0,                 2.9414,                 5.3064,                 3.4994,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.3982,                 5.9275,                 3.9785,                      0,                      0,                      0,                      0,                 2.9255,                 5.3077,                 3.4692,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.8278,                 5.6395,                 3.6412,                      0,                      0,                      0,                      0,                 2.9318,                 5.3152,                 3.4495,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 3.1574,                 6.1014,                  3.392,                      0,                      0,                      0,                      0,                 2.9163,                 5.3121,                 3.4531,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 2.7198,                 5.6435,                  3.282,                      0,                      0,                      0,                      0,                 2.9311,                 5.2953,                 3.4537,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.9331,                 5.7514,                 3.5529,                      0,                      0,                      0,                      0,                 2.9483,                  5.294,                  3.452,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 3.0764,                 5.8974,                 3.6792,                      0,                      0,                      0,                      0,                 2.9627,                 5.2946,                 3.4411,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 2.6522,                 5.5285,                  3.427,                      0,                      0,                      0,                      0,                 3.0016,                 5.2865,                 3.4529,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 3.2344,                 5.8974,                 3.5649,                      0,                      0,                      0,                      0,                 3.0327,                 5.3015,                  3.463,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 3.0749,                 5.5986,                 3.6729,                      0,                      0,                      0,                      0,                 3.0625,                 5.3179,                 3.4889,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 3.0438,                 5.5834,                 3.4952,                      0,                      0,                      0,                      0,                 3.0711,                 5.3265,                 3.4979,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 2.3718,                 5.5584,                 3.0381,                      0,                      0,                      0,                      0,                 3.1004,                 5.3323,                 3.5198,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 2.4306,                 5.6187,                 3.1323,                      0,                      0,                      0,                      0,                 3.1352,                 5.3334,                 3.5536,             1.9088e-05,             1.9088e-05,             1.9088e-05
